# timestamp_s tx ty tz qx qy qz qw
1.717159945770027507e+09 1.58386 1.15054 -0.23964 0.00608 0.01838 0.03970 0.99902
1.717159945880027294e+09 1.57947 1.16060 -0.23459 0.00544 0.01843 0.04009 0.99901
1.717159945970027524e+09 1.57416 1.16213 -0.23100 0.00501 0.01852 0.04036 0.99900
1.717159946080035970e+09 1.56341 1.16318 -0.22645 0.00476 0.01852 0.04062 0.99899
1.717159946180035757e+09 1.55195 1.16143 -0.22894 0.00443 0.01832 0.04076 0.99899
1.717159946270035986e+09 1.54152 1.16554 -0.23012 0.00396 0.01820 0.04114 0.99898
1.717159946380035773e+09 1.53186 1.16830 -0.23103 0.00330 0.01850 0.04157 0.99896
1.717159946470036003e+09 1.52090 1.17485 -0.23529 0.00269 0.01886 0.04219 0.99893
1.717159946580036012e+09 1.50707 1.18097 -0.23604 0.00203 0.01919 0.04263 0.99890
1.717159946680035798e+09 1.49715 1.18053 -0.23579 0.00157 0.01922 0.04297 0.99889
1.717159946770036028e+09 1.49499 1.17953 -0.23273 0.00129 0.01916 0.04319 0.99888
1.717159946880035815e+09 1.50032 1.17939 -0.22529 0.00110 0.01916 0.04354 0.99887
1.717159946970036044e+09 1.50554 1.17854 -0.21272 0.00118 0.01935 0.04368 0.99886
1.717159947070044268e+09 1.51287 1.17785 -0.19532 0.00132 0.01953 0.04397 0.99884
1.717159947180044499e+09 1.52196 1.17286 -0.17958 0.00142 0.01970 0.04434 0.99882
1.717159947270044285e+09 1.52933 1.16818 -0.16958 0.00139 0.01980 0.04457 0.99881
1.717159947380044294e+09 1.53589 1.16968 -0.16191 0.00154 0.01992 0.04488 0.99879
1.717159947470044301e+09 1.53961 1.17130 -0.16184 0.00172 0.01981 0.04520 0.99878
1.717159947570044309e+09 1.53960 1.17304 -0.17091 0.00198 0.01952 0.04546 0.99877
1.717159947680044318e+09 1.53853 1.17511 -0.19085 0.00222 0.01927 0.04572 0.99877
1.717159947770044326e+09 1.53377 1.18035 -0.21170 0.00240 0.01914 0.04605 0.99875
1.717159947880044113e+09 1.53334 1.18815 -0.23922 0.00260 0.01906 0.04642 0.99874
1.717159947970044342e+09 1.53425 1.19672 -0.26049 0.00255 0.01905 0.04692 0.99871
1.717159948070052788e+09 1.53995 1.20563 -0.27932 0.00235 0.01893 0.04750 0.99869
1.717159948180053020e+09 1.54863 1.20947 -0.29429 0.00228 0.01882 0.04818 0.99866
1.717159948270052805e+09 1.55901 1.21340 -0.29615 0.00229 0.01874 0.04878 0.99863
1.717159948380052814e+09 1.57634 1.21697 -0.29589 0.00234 0.01842 0.04956 0.99860
1.717159948470053044e+09 1.58823 1.21957 -0.29129 0.00237 0.01840 0.05008 0.99857
1.717159948580052831e+09 1.60097 1.21967 -0.28018 0.00236 0.01850 0.05083 0.99853
1.717159948680053061e+09 1.60667 1.21499 -0.27158 0.00219 0.01824 0.05155 0.99850
1.717159948770052846e+09 1.60468 1.20896 -0.26867 0.00190 0.01819 0.05208 0.99848
1.717159948880052855e+09 1.59837 1.20248 -0.26403 0.00147 0.01828 0.05288 0.99843
1.717159948970052863e+09 1.59030 1.20022 -0.25916 0.00090 0.01851 0.05344 0.99840
1.717159949070061309e+09 1.57703 1.20226 -0.25534 -0.00006 0.01859 0.05417 0.99836
1.717159949180061318e+09 1.56642 1.20634 -0.24794 -0.00120 0.01861 0.05492 0.99832
1.717159949270061325e+09 1.54997 1.21057 -0.24185 -0.00235 0.01844 0.05574 0.99827
1.717159949380061335e+09 1.52109 1.21528 -0.23582 -0.00359 0.01843 0.05660 0.99822
1.717159949470061342e+09 1.50150 1.21292 -0.23034 -0.00449 0.01841 0.05731 0.99818
1.717159949570061128e+09 1.47837 1.20796 -0.22868 -0.00520 0.01839 0.05813 0.99813
1.717159949680061359e+09 1.45750 1.19776 -0.22752 -0.00587 0.01823 0.05888 0.99808
1.717159949770061145e+09 1.44968 1.18286 -0.22335 -0.00629 0.01802 0.05954 0.99804
1.717159949880061376e+09 1.44864 1.16649 -0.22002 -0.00680 0.01776 0.06031 0.99800
1.717159949970061383e+09 1.45560 1.15900 -0.21546 -0.00705 0.01761 0.06088 0.99796
1.717159950070069829e+09 1.46860 1.15049 -0.20969 -0.00751 0.01747 0.06165 0.99792
1.717159950180069616e+09 1.49125 1.14690 -0.19799 -0.00802 0.01750 0.06265 0.99785
1.717159950270069846e+09 1.50513 1.15459 -0.18677 -0.00854 0.01752 0.06320 0.99781
1.717159950380069633e+09 1.52210 1.17416 -0.17569 -0.00905 0.01749 0.06405 0.99775
1.717159950470069862e+09 1.53477 1.19558 -0.16458 -0.00933 0.01760 0.06449 0.99772
1.717159950580069872e+09 1.54773 1.22150 -0.14675 -0.00896 0.01781 0.06514 0.99768
1.717159950680069658e+09 1.55592 1.24683 -0.13878 -0.00777 0.01785 0.06548 0.99766
1.717159950770069887e+09 1.56197 1.26681 -0.14093 -0.00661 0.01771 0.06573 0.99766
1.717159950880069674e+09 1.57117 1.29325 -0.14915 -0.00617 0.01746 0.06640 0.99762
1.717159950970069904e+09 1.57829 1.31405 -0.15306 -0.00663 0.01781 0.06740 0.99754
1.717159951080078351e+09 1.58167 1.34576 -0.14689 -0.00737 0.01905 0.06829 0.99746
1.717159951180078359e+09 1.57880 1.36661 -0.13394 -0.00816 0.01979 0.06895 0.99739
1.717159951270078366e+09 1.56023 1.37753 -0.11193 -0.00865 0.01948 0.06959 0.99735
1.717159951380078375e+09 1.52114 1.38074 -0.07222 -0.00877 0.01784 0.06999 0.99735
1.717159951470078383e+09 1.49230 1.37639 -0.04046 -0.00814 0.01692 0.07041 0.99734
1.717159951580078392e+09 1.45325 1.36303 -0.01352 -0.00677 0.01749 0.07079 0.99732
1.717159951680078178e+09 1.41993 1.33616 -0.00092 -0.00550 0.01901 0.07153 0.99724
1.717159951770078408e+09 1.37990 1.30982 0.00096 -0.00447 0.01955 0.07134 0.99725
1.717159951880078417e+09 1.31885 1.26634 -0.00072 -0.00327 0.02038 0.06934 0.99738
1.717159951970078424e+09 1.25505 1.22464 -0.00085 -0.00185 0.02065 0.07016 0.99732
1.717159952080086649e+09 1.17643 1.16821 -0.00004 -0.00084 0.02042 0.07021 0.99732
1.717159952180086879e+09 1.10605 1.11497 0.00429 -0.00053 0.02029 0.07215 0.99719
1.717159952270086665e+09 1.04795 1.07291 0.00727 -0.00025 0.02015 0.07330 0.99711
1.717159952380086896e+09 0.99470 1.02482 0.01434 -0.00050 0.01986 0.07255 0.99717
1.717159952470086903e+09 0.95902 0.99200 0.02105 -0.00094 0.01929 0.07488 0.99701
1.717159952580086690e+09 0.92437 0.95669 0.02705 -0.00132 0.01860 0.07513 0.99700
1.717159952680086921e+09 0.91024 0.93610 0.03293 -0.00158 0.01814 0.07584 0.99695
1.717159952770086706e+09 0.91343 0.92956 0.03495 -0.00185 0.01799 0.07761 0.99682
1.717159952880086937e+09 0.93297 0.92813 0.02678 -0.00208 0.01793 0.07652 0.99690
1.717159952970086723e+09 0.95623 0.93821 0.01667 -0.00229 0.01789 0.07838 0.99676
1.717159953070095391e+09 0.98644 0.96444 0.00094 -0.00233 0.01776 0.08003 0.99663
1.717159953180095400e+09 1.03367 0.99443 -0.01657 -0.00205 0.01757 0.07736 0.99685
1.717159953270095407e+09 1.06887 1.02837 -0.03160 -0.00185 0.01743 0.07978 0.99666
1.717159953380095194e+09 1.11036 1.07021 -0.04751 -0.00160 0.01738 0.07837 0.99677
1.717159953470095424e+09 1.13728 1.10241 -0.05333 -0.00153 0.01757 0.07998 0.99664
1.717159953580095211e+09 1.16129 1.14089 -0.05415 -0.00138 0.01775 0.07974 0.99666
1.717159953680095441e+09 1.16455 1.17584 -0.04833 -0.00174 0.01781 0.08198 0.99647
1.717159953770095449e+09 1.15183 1.21428 -0.03986 -0.00226 0.01780 0.08377 0.99632
1.717159953880095236e+09 1.13050 1.26081 -0.03070 -0.00279 0.01762 0.08392 0.99631
1.717159953970095465e+09 1.09643 1.29297 -0.02523 -0.00331 0.01696 0.08688 0.99607
1.717159954070103911e+09 1.05515 1.32588 -0.02322 -0.00359 0.01633 0.08544 0.99620
1.717159954180103698e+09 1.01271 1.35568 -0.02666 -0.00360 0.01586 0.08629 0.99614
1.717159954270103928e+09 0.97862 1.36948 -0.02721 -0.00339 0.01562 0.08703 0.99608
1.717159954380103937e+09 0.94948 1.37730 -0.02473 -0.00301 0.01573 0.08558 0.99620
1.717159954470103944e+09 0.92881 1.37657 -0.01941 -0.00278 0.01576 0.08748 0.99604
1.717159954580103953e+09 0.91044 1.37084 -0.01321 -0.00242 0.01586 0.08757 0.99603
1.717159954680103739e+09 0.90752 1.36140 -0.00937 -0.00209 0.01600 0.08738 0.99604
1.717159954770103969e+09 0.90889 1.35079 -0.00401 -0.00185 0.01610 0.08799 0.99599
1.717159954880103756e+09 0.91051 1.33119 0.00423 -0.00154 0.01617 0.08911 0.99589
1.717159954970103986e+09 0.91393 1.31641 0.00676 -0.00148 0.01606 0.08792 0.99600
1.717159955070112209e+09 0.91634 1.30449 0.00692 -0.00157 0.01598 0.08868 0.99593
1.717159955180112219e+09 0.91667 1.29175 0.00372 -0.00164 0.01587 0.08976 0.99584
1.717159955270112226e+09 0.91429 1.28120 -0.00069 -0.00172 0.01595 0.08849 0.99595
1.717159955380112235e+09 0.91337 1.26776 -0.00468 -0.00184 0.01586 0.09049 0.99577
1.717159955470112243e+09 0.90981 1.25861 -0.00731 -0.00187 0.01583 0.09049 0.99577
1.717159955580112252e+09 0.90384 1.25071 -0.00846 -0.00181 0.01588 0.08989 0.99582
1.717159955680112038e+09 0.89931 1.24478 -0.01138 -0.00187 0.01576 0.09077 0.99575
1.717159955770112267e+09 0.89290 1.23870 -0.01034 -0.00178 0.01571 0.09084 0.99574
1.717159955880112276e+09 0.88380 1.23440 -0.00764 -0.00161 0.01571 0.08994 0.99582
1.717159955970112284e+09 0.87628 1.23403 -0.00133 -0.00130 0.01568 0.09099 0.99573
1.717159956080120731e+09 0.86736 1.23789 0.00779 -0.00084 0.01560 0.08924 0.99589
1.717159956180120961e+09 0.85781 1.24312 0.02095 -0.00013 0.01564 0.08975 0.99584
1.717159956270120968e+09 0.85508 1.23382 0.02645 0.00052 0.01547 0.08757 0.99604
1.717159956380120756e+09 0.86271 1.21450 0.02367 0.00104 0.01577 0.08842 0.99596
1.717159956470120985e+09 0.87942 1.18888 0.01102 0.00135 0.01632 0.08777 0.99601
1.717159956580120772e+09 0.91406 1.15910 -0.01536 0.00120 0.01717 0.08633 0.99612
1.717159956680120780e+09 0.95449 1.14405 -0.04241 0.00065 0.01816 0.09160 0.99563
1.717159956770120788e+09 0.98823 1.13036 -0.06238 0.00016 0.01875 0.08911 0.99585
1.717159956880120797e+09 1.02621 1.12714 -0.07991 -0.00028 0.01899 0.08980 0.99578
1.717159956970120804e+09 1.05481 1.13308 -0.08830 -0.00050 0.01905 0.09155 0.99562
1.717159957080129473e+09 1.08662 1.14520 -0.09254 -0.00080 0.01920 0.08900 0.99585
1.717159957180129259e+09 1.11294 1.16421 -0.08530 -0.00109 0.01948 0.09124 0.99564
1.717159957270129267e+09 1.12772 1.18204 -0.07581 -0.00126 0.01959 0.09186 0.99558
1.717159957380129276e+09 1.14272 1.20150 -0.06508 -0.00143 0.01973 0.08879 0.99585
1.717159957480129284e+09 1.15480 1.22046 -0.05428 -0.00148 0.01982 0.09029 0.99572
1.717159957570129292e+09 1.15934 1.23981 -0.04590 -0.00143 0.01988 0.09052 0.99569
1.717159957680129301e+09 1.16265 1.25094 -0.03836 -0.00138 0.02012 0.08809 0.99591
1.717159957770129308e+09 1.16164 1.26360 -0.03767 -0.00133 0.02027 0.08872 0.99585
1.717159957880129317e+09 1.15037 1.27659 -0.03295 -0.00138 0.02097 0.09023 0.99570
1.717159957970129325e+09 1.13932 1.28355 -0.03048 -0.00124 0.02116 0.09009 0.99571
1.717159958070137771e+09 1.12773 1.28416 -0.03030 -0.00123 0.02142 0.08978 0.99573
1.717159958180137780e+09 1.10550 1.28245 -0.02665 -0.00122 0.02163 0.09156 0.99556
1.717159958270137787e+09 1.08786 1.27924 -0.02671 -0.00087 0.02158 0.08979 0.99573
1.717159958380138018e+09 1.05730 1.26841 -0.02903 -0.00060 0.02175 0.09134 0.99558
1.717159958470137804e+09 1.02309 1.26428 -0.03300 -0.00022 0.02200 0.09277 0.99544
1.717159958570137812e+09 0.98842 1.25445 -0.04229 0.00020 0.02217 0.08968 0.99572
1.717159958680137821e+09 0.95786 1.23868 -0.04662 0.00039 0.02225 0.09187 0.99552
1.717159958770137829e+09 0.93340 1.22951 -0.05140 0.00083 0.02237 0.09368 0.99535
1.717159958880137838e+09 0.91529 1.20937 -0.04947 0.00153 0.02257 0.08767 0.99589
1.717159958970137845e+09 0.90735 1.19172 -0.04655 0.00187 0.02250 0.09227 0.99548
1.717159959070146291e+09 0.90753 1.17364 -0.04104 0.00219 0.02220 0.09179 0.99553
1.717159959180146300e+09 0.91231 1.14907 -0.03239 0.00241 0.02205 0.09217 0.99550
1.717159959270146308e+09 0.91825 1.12758 -0.02824 0.00266 0.02217 0.09136 0.99557
1.717159959380146317e+09 0.92399 1.10152 -0.02391 0.00291 0.02244 0.09223 0.99548
1.717159959470146324e+09 0.92545 1.08060 -0.02217 0.00290 0.02276 0.09195 0.99550
1.717159959580146333e+09 0.92718 1.06274 -0.02076 0.00281 0.02327 0.09282 0.99541
1.717159959680146120e+09 0.93323 1.05148 -0.01566 0.00280 0.02368 0.09249 0.99543
1.717159959770146349e+09 0.93736 1.04592 -0.00643 0.00277 0.02374 0.09271 0.99541
1.717159959880146358e+09 0.93942 1.03704 0.00790 0.00286 0.02370 0.09228 0.99545
1.717159959970146366e+09 0.94942 1.03103 0.02530 0.00301 0.02387 0.09205 0.99546
1.717159960080154812e+09 0.96189 1.02048 0.04998 0.00325 0.02421 0.09172 0.99549
1.717159960180154821e+09 0.97424 1.02029 0.07009 0.00343 0.02466 0.09183 0.99546
